Feature,Importance
Glucose,0.2592154780340275
BMI,0.16998164011444966
Age,0.14093290235163658
DiabetesPedigreeFunction,0.12393485724804608
BloodPressure,0.08846273137622776
Pregnancies,0.07665039366938059
Insulin,0.07622123427738557
SkinThickness,0.06460076292884635
